Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
X scan sample          , 77eV         ,     904257,   904356, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.86kV    , 0               ,         ,             ,          ,          ,              ,     
X scan sample          , 77eV         ,     904357,   904458, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.86kV    , 0               ,         ,             ,          ,          ,              ,     
Polarization Scan #3   , 77eV         ,     904459,   904549, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.86kV    , #               ,         ,             ,          ,          ,              ,     
Polarization Scan #4   , 77eV         ,     904550,   904670, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.86kV    , #               ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#457, 77.5eV       ,     904671,   904671, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#458, 77.5eV       ,     904672,   904672, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#459, 77.5eV       ,     904673,   904673, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#460, 77.5eV       ,     904674,   904674, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#461, 77.5eV       ,     904675,   904675, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#462, 77.5eV       ,     904676,   904676, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#463, 77.5eV       ,     904677,   904677, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#464, 77.5eV       ,     904678,   904678, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#465, 77.5eV       ,     904679,   904679, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#466, 77.5eV       ,     904680,   904680, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#467, 77.5eV       ,     904681,   904681, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#468, 77.5eV       ,     904682,   904682, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#469, 77.5eV       ,     904683,   904683, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#470, 77.5eV       ,     904684,   904684, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#471, 77.5eV       ,     904685,   904685, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#472, 77.5eV       ,     904686,   904686, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#473, 77.5eV       ,     904687,   904687, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#474, 77.5eV       ,     904688,   904688, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#475, 77.5eV       ,     904689,   904689, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#476, 77.5eV       ,     904690,   904690, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#477, 77.5eV       ,     904691,   904691, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#478, 77.5eV       ,     904692,   904692, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#479, 77.5eV       ,     904693,   904693, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#480, 77.5eV       ,     904694,   904694, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#481, 77.5eV       ,     904695,   904695, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#482, 77.5eV       ,     904696,   904696, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#483, 77.5eV       ,     904697,   904697, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#484, 77.5eV       ,     904698,   904698, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#485, 77.5eV       ,     904699,   904699, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#486, 77.5eV       ,     904700,   904700, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#487, 77.5eV       ,     904701,   904701, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#488, 77.5eV       ,     904702,   904702, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#489, 77.5eV       ,     904703,   904703, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#490, 76.5eV       ,     904704,   904704, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#491, 76.5eV       ,     904705,   904705, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#492, 76.5eV       ,     904706,   904706, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#493, 76.5eV       ,     904707,   904707, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#494, 76.5eV       ,     904708,   904708, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#495, 76.5eV       ,     904709,   904709, FeCo/CuO/SiO2      , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#496, 76.5eV       ,     904710,   904710, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#497, 76.5eV       ,     904711,   904711, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#498, 76.5eV       ,     904712,   904712, FeCo/CuO/SiO2      , 30mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#499, 76.5eV       ,     904713,   904713, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#500, 76.5eV       ,     904715,   904715, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#501, 76.5eV       ,     904716,   904716, FeCo/CuO/SiO2      , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#502, 76.5eV       ,     904717,   904717, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#503, 76.5eV       ,     904718,   904718, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#504, 76.5eV       ,     904719,   904719, FeCo/CuO/SiO2      , 10mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#505, 76.5eV       ,     904720,   904720, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#506, 76.5eV       ,     904721,   904721, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#507, 76.5eV       ,     904722,   904722, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#508, 76.5eV       ,     904723,   904723, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#509, 76.5eV       ,     904724,   904724, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#510, 76.5eV       ,     904725,   904725, FeCo/CuO/SiO2      , -10mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#511, 76.5eV       ,     904726,   904726, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#512, 76.5eV       ,     904727,   904727, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#513, 76.5eV       ,     904728,   904728, FeCo/CuO/SiO2      , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#514, 76.5eV       ,     904729,   904729, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#515, 76.5eV       ,     904730,   904730, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#516, 76.5eV       ,     904731,   904731, FeCo/CuO/SiO2      , -30mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#517, 76.5eV       ,     904732,   904732, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#518, 76.5eV       ,     904733,   904733, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#519, 76.5eV       ,     904734,   904734, FeCo/CuO/SiO2      , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#520, 76.5eV       ,     904735,   904735, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#521, 76.5eV       ,     904736,   904736, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#522, 76.5eV       ,     904737,   904737, FeCo/CuO/SiO2      , -50mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#523, 76.5eV       ,     904739,   904739, FeCo/CuO/SiO2      , 55mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#524, 76.5eV       ,     904740,   904740, FeCo/CuO/SiO2      , 55mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#525, 76.5eV       ,     904741,   904741, FeCo/CuO/SiO2      , 55mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#526, 76.5eV       ,     904742,   904742, FeCo/CuO/SiO2      , -55mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#527, 76.5eV       ,     904743,   904743, FeCo/CuO/SiO2      , -55mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#528, 76.5eV       ,     904744,   904744, FeCo/CuO/SiO2      , -55mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#529, 76.5eV       ,     904745,   904745, FeCo/CuO/SiO2      , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#530, 76.5eV       ,     904746,   904746, FeCo/CuO/SiO2      , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#531, 76.5eV       ,     904747,   904747, FeCo/CuO/SiO2      , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#532, 76.5eV       ,     904748,   904748, FeCo/CuO/SiO2      , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#533, 76.5eV       ,     904749,   904749, FeCo/CuO/SiO2      , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#534, 76.5eV       ,     904750,   904750, FeCo/CuO/SiO2      , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#535, 76.5eV       ,     904751,   904751, FeCo/CuO/SiO2      , 65mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#536, 76.5eV       ,     904752,   904752, FeCo/CuO/SiO2      , 65mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#537, 76.5eV       ,     904753,   904753, FeCo/CuO/SiO2      , 65mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#538, 76.5eV       ,     904754,   904754, FeCo/CuO/SiO2      , -65mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#539, 76.5eV       ,     904755,   904755, FeCo/CuO/SiO2      , -65mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#540, 76.5eV       ,     904756,   904756, FeCo/CuO/SiO2      , -65mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#541, 76.5eV       ,     904757,   904757, FeCo/CuO/SiO2      , 70mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#542, 76.5eV       ,     904758,   904758, FeCo/CuO/SiO2      , 70mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#543, 76.5eV       ,     904759,   904759, FeCo/CuO/SiO2      , 70mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#544, 76.5eV       ,     904760,   904760, FeCo/CuO/SiO2      , -70mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#545, 76.5eV       ,     904761,   904761, FeCo/CuO/SiO2      , -70mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#546, 76.5eV       ,     904762,   904762, FeCo/CuO/SiO2      , -70mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#547, 76.5eV       ,     904765,   904765, FeCo/CuO/SiO2      , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#548, 76.5eV       ,     904766,   904766, FeCo/CuO/SiO2      , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#549, 76.5eV       ,     904767,   904767, FeCo/CuO/SiO2      , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#550, 76.5eV       ,     904768,   904768, FeCo/CuO/SiO2      , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#551, 76.5eV       ,     904769,   904769, FeCo/CuO/SiO2      , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#552, 76.5eV       ,     904770,   904770, FeCo/CuO/SiO2      , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#552, 76.5eV       ,     904771,   904771, FeCo/CuO/SiO2      , 90mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#553, 76.5eV       ,     904772,   904772, FeCo/CuO/SiO2      , 90mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#554, 76.5eV       ,     904773,   904773, FeCo/CuO/SiO2      , 90mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#555, 76.5eV       ,     904774,   904774, FeCo/CuO/SiO2      , -90mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#556, 76.5eV       ,     904775,   904775, FeCo/CuO/SiO2      , -90mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#557, 76.5eV       ,     904776,   904776, FeCo/CuO/SiO2      , -90mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#558, 53eV         ,     905208,   905208, SiO2/CuO/FeCo/SiO2 , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#559, 53eV         ,     905209,   905209, SiO2/CuO/FeCo/SiO2 , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#560, 53eV         ,     905210,   905210, SiO2/CuO/FeCo/SiO2 , 50mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#561, 53eV         ,     905211,   905211, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#562, 53eV         ,     905212,   905212, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#563, 53eV         ,     905213,   905213, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#564, 53eV         ,     905214,   905214, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#565, 53eV         ,     905215,   905215, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#566, 53eV         ,     905216,   905216, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#567, 53eV         ,     905217,   905217, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#568, 53eV         ,     905218,   905218, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#569, 53eV         ,     905219,   905219, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#570, 53eV         ,     905220,   905220, SiO2/CuO/FeCo/SiO2 , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#571, 53eV         ,     905221,   905221, SiO2/CuO/FeCo/SiO2 , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#572, 53eV         ,     905222,   905222, SiO2/CuO/FeCo/SiO2 , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#573, 53eV         ,     905224,   905224, SiO2/CuO/FeCo/SiO2 , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#574, 53eV         ,     905225,   905225, SiO2/CuO/FeCo/SiO2 , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#575, 53eV         ,     905226,   905226, SiO2/CuO/FeCo/SiO2 , 20mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#576, 53eV         ,     905227,   905227, SiO2/CuO/FeCo/SiO2 , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#577, 53eV         ,     905228,   905228, SiO2/CuO/FeCo/SiO2 , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#578, 53eV         ,     905229,   905229, SiO2/CuO/FeCo/SiO2 , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#579, 53eV         ,     905230,   905230, SiO2/CuO/FeCo/SiO2 , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#580, 53eV         ,     905231,   905231, SiO2/CuO/FeCo/SiO2 , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#581, 53eV         ,     905232,   905232, SiO2/CuO/FeCo/SiO2 , -20mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#582, 53eV         ,     905233,   905233, SiO2/CuO/FeCo/SiO2 , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#583, 53eV         ,     905234,   905234, SiO2/CuO/FeCo/SiO2 , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#584, 53eV         ,     905235,   905235, SiO2/CuO/FeCo/SiO2 , -40mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#585, 53eV         ,     905236,   905236, SiO2/CuO/FeCo/SiO2 , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#586, 53eV         ,     905237,   905237, SiO2/CuO/FeCo/SiO2 , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#587, 53eV         ,     905238,   905238, SiO2/CuO/FeCo/SiO2 , -60mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#588, 53eV         ,     905239,   905239, SiO2/CuO/FeCo/SiO2 , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#589, 53eV         ,     905240,   905240, SiO2/CuO/FeCo/SiO2 , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#590, 53eV         ,     905241,   905241, SiO2/CuO/FeCo/SiO2 , -80mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#591, 53eV         ,     905242,   905242, SiO2/CuO/FeCo/SiO2 , -100mA      ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#592, 53eV         ,     905243,   905243, SiO2/CuO/FeCo/SiO2 , -100mA      ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#593, 53eV         ,     905244,   905244, SiO2/CuO/FeCo/SiO2 , -100mA      ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
                       ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#593, 54eV         ,     905245,   905245, SiO2/CuO/FeCo/SiO2 , 0mA         ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#594, 54eV         ,     905246,   905246, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#595, 54eV         ,     905247,   905247, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#596, 54eV         ,     905248,   905248, SiO2/CuO/FeCo/SiO2 , 100mA       ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#597, 54eV         ,     905249,   905249, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#598, 54eV         ,     905250,   905250, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#599, 54eV         ,     905251,   905251, SiO2/CuO/FeCo/SiO2 , 80mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#600, 54eV         ,     905252,   905252, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#601, 54eV         ,     905253,   905253, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#602, 54eV         ,     905254,   905254, SiO2/CuO/FeCo/SiO2 , 60mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
Current measurement#603, 54eV         ,     905255,   905255, SiO2/CuO/FeCo/SiO2 , 40mA        ,               , 500 pC/V     , -1.86kV    , -40             ,         ,             ,          ,          ,              ,     
