Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#6  , 75eV         ,     902184,   902184, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#7  , 74eV         ,     902185,   902185, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#8  , 74eV         ,     902186,   902186, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#9  , 74eV         ,     902187,   902187, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#10 , 73eV         ,     902188,   902188, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#11 , 73eV         ,     902189,   902189, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#12 , 73eV         ,     902190,   902190, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#13 , 72eV         ,     902191,   902191, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#14 , 76eV         ,     902192,   902192, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#15 , 80eV         ,     902193,   902193, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#16 , 80eV         ,     902194,   902194, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
